agency_name,w_0,s_0,w_1,s_1,dw,ds,within_effect,mix_effect,mix_effect_uncentred,interaction_effect,total_effect,base_period,latest_period
Smithsonian Institution,0.0006641056215000159,0.7630964131806908,0.0005477738836232662,0.7815973694064006,-0.00011633173787674962,0.018500956225709797,1.2286589032619593e-05,-7.004979169458181e-06,-8.877233191282394e-05,-2.152248390118491e-06,3.129361473042921e-06,2024,2025
John F. Kennedy Center for the Performing Arts,1.0071012985735138e-05,0.9931592127849407,0.0,0.0,-1.0071012985735138e-05,-0.9931592127849407,-1.0002119328859624e-05,-2.923396992913114e-06,-1.0002119328859624e-05,1.0002119328859624e-05,-2.923396992913114e-06,2024,2025
Selective Service System,2.3629724766935503e-06,0.8840197088039726,9.52078552223015e-06,0.47990913777791877,7.1578130455366e-06,-0.40411057102605386,-9.549021568754794e-07,1.29655796707513e-06,6.3276478041885415e-06,-2.892547917129533e-06,-2.5508921069298825e-06,2024,2025
National Transportation Safety Board,3.029883232889935e-05,0.9418958884624534,3.806822887713809e-05,0.9525089264890512,7.76939654823874e-06,0.010613038026597743,3.2156265966811787e-07,1.8570024850691812e-06,7.3179626646204476e-06,8.2456901010175e-08,2.261022045747474e-06,2024,2025
National Labor Relations Board,3.470544790808637e-05,0.8190923395601922,3.505940326808328e-05,0.8782955347169094,3.5395535999691106e-07,0.059203195156717126,2.0546734055037173e-06,4.113367371249116e-08,2.8992212391973994e-07,2.0955288254663192e-08,2.1167623674708717e-06,2024,2025
U.S. Agency for Global Media,0.0001700749391358688,0.7817773456200682,9.205289330079817e-05,0.8298378672186342,-7.802204583507064e-05,0.048060521598566,8.17389028571422e-06,-6.155664694635378e-06,-6.099586789278882e-05,-3.7497802190207184e-06,-1.731554627941876e-06,2024,2025
Federal Election Commission,2.19335320672513e-05,0.9546019055833729,1.7607624602905956e-05,0.922131376450784,-4.325907464345343e-06,-0.032470529132588855,-7.121933919702552e-07,-1.0889219210443427e-06,-4.129519508841401e-06,1.4046450434590905e-07,-1.6606508086686888e-06,2024,2025
Merit Systems Protection Board,6.154780397586969e-06,0.5967922708705538,4.106073207206113e-06,0.867102411796733,-2.048707190380856e-06,0.2703101409261792,1.663699556641419e-06,2.1734446909035562e-07,-1.222652616496223e-06,-5.537863293483258e-07,1.3272576963834487e-06,2024,2025
Institute of Museum and Library Services,1.2841624775635188e-05,0.8739575350665197,1.5218126818689126e-05,0.7732344196235507,2.376502043053938e-06,-0.10072311544296908,-1.293448454751595e-06,4.0656405189518893e-07,2.076961867627968e-06,-2.393686896329737e-07,-1.1262530924893799e-06,2024,2025
Commodity Futures Trading Commission,0.00012096664051068855,0.7879232730544848,8.70445436762661e-05,0.8084424208638111,-3.3922096834422443e-05,0.020519147809326288,2.4821323766364555e-06,-2.884816743436152e-06,-2.672800956664931e-05,-6.960525189477935e-07,-1.0987368857474897e-06,2024,2025
National Endowment for the Arts,7.3616090011952156e-06,0.9615095661453896,4.956156057192026e-06,0.9872203831926821,-2.4054529440031896e-06,0.0257108170472925,1.8927298220343187e-07,-6.221191664879625e-07,-2.312866016571657e-06,-6.184616055913714e-08,-4.946923448436678e-07,2024,2025
Defense Nuclear Facilities Safety Board,9.895644299130008e-06,0.5721803428523508,7.628889842744764e-06,0.4765086950693134,-2.266754456385244e-06,-0.09567164778303733,-9.467325959725874e-07,2.962659948804032e-07,-1.296992342016603e-06,2.1686413396191932e-07,-4.336024671302649e-07,2024,2025
National Endowment for the Humanities,2.340459709405791e-06,0.6526044888591823,2.4984084502303905e-06,0.7627667412307134,1.5794874082459927e-07,0.1101622523715311,2.578303131729611e-07,-7.941090572960029e-09,1.0307805727178908e-07,1.7399989048485063e-08,2.6728921164848615e-07,2024,2025
International Trade Commission,2.2042666022119332e-05,0.8439878987922061,2.2823701213376936e-05,0.8277743436345354,7.81035191257604e-07,-0.016213555157670756,-3.573899813717468e-07,1.1020955779901157e-07,6.59184249952274e-07,-1.266335715353709e-08,-2.5984378072627234e-07,2024,2025
Occupational Safety and Health Review Commission,2.509176946582245e-06,0.9946212676122087,1.996719243173726e-06,0.9631044060006255,-5.124577034085191e-07,-0.03151686161158318,-7.908138258440746e-08,-1.4950461584366133e-07,-5.097013305618225e-07,1.6151058520116034e-08,-2.1243493990795277e-07,2024,2025
Committee for Purchase from People Who Are Blind or Severely Disabled,2.9976077405405904e-06,0.7744430089045098,2.647288375159304e-06,0.8615128304039139,-3.503193653812865e-07,0.08706982149940412,2.6100117089410133e-07,-2.5069604242894773e-08,-2.713023834034019e-07,-3.050224461153315e-08,2.0542932203967342e-07,2024,2025
Morris K. Udall and Stewart L. Udall Foundation,2.6176990786096526e-06,0.533448778045943,3.992210467890195e-07,0.0,-2.218478031820633e-06,-0.533448778045943,-1.3964083747763101e-06,3.758813665614366e-07,-1.1834443951964856e-06,1.1834443951964856e-06,1.62917386981612e-07,2024,2025
American Battle Monuments Commission,0.0,0.0,3.565198328223495e-07,0.2805755395683453,3.565198328223495e-07,0.2805755395683453,0.0,-2.5059096908941803e-07,0.0,1.0003074446094697e-07,-1.5056022462847106e-07,2024,2025
Federal Housing Finance Agency,9.90163434071119e-07,1.0,4.973475649601537e-07,1.0,-4.928158691109653e-07,0.0,0.0,-1.4642502390741927e-07,-4.928158691109653e-07,-0.0,-1.4642502390741927e-07,2024,2025
Federal Mediation and Conciliation Service,1.0950196280440455e-05,0.7215061789127519,1.9589158294183154e-06,0.7395524405667873,-8.991280451022139e-06,0.018046261654035334,1.9761010723987293e-07,-1.6746540560516177e-07,-6.487264401749908e-06,-1.6225899962395834e-07,-1.321142979892472e-07,2024,2025
Federal Maritime Commission,8.83703802146168e-06,0.8462723775438155,6.593060339400769e-06,0.9145617787383886,-2.2439776820609103e-06,0.06828940119457316,6.034760348192937e-07,-3.2176735013362694e-07,-1.8990163281529465e-06,-1.5323989220192584e-07,1.284687924837409e-07,2024,2025
Federal Labor Relations Authority,1.998585730402651e-06,0.8868403712768523,2.073272912978687e-06,0.9117564810623884,7.468718257603596e-08,0.024916109785536045,4.9796981474518197e-08,1.3739417105032006e-08,6.623560872535378e-08,1.8609140406368868e-09,6.539731262018709e-08,2024,2025
Council of the Inspectors General on Integrity and Efficiency,2.9511585332324297e-06,0.18156596406262965,5.911351841855769e-06,0.45318418465781973,2.9601933086233395e-06,0.2716182205951901,8.015884294909037e-07,-1.543192886468669e-06,5.374703518919421e-07,8.040424391060598e-07,6.243798212829453e-08,2024,2025
United States Chemical Safety Board,2.7044756478404676e-06,0.782665972560122,2.1142623828919053e-06,0.7895747577466896,-5.902132649485623e-07,0.006908785186567568,1.868464129323295e-08,-4.709022782478731e-08,-4.619398390288515e-07,-4.077656661792306e-09,-3.248324319334667e-08,2024,2025
Administrative Conference of the U.S.,1.3822799138965718e-07,1.0,3.3984804207885834e-08,1.0,-1.0424318718177134e-07,0.0,0.0,-3.0972645428022045e-08,-1.0424318718177134e-07,-0.0,-3.0972645428022045e-08,2024,2025
